,,,PHLX LISTED OPTIONS,,

,,,As of 03/22/2016,,

Number of Issues - ,3763,,
,,Option,Stock,,Primary,Single,Primary,Secondary
"SMALL CAP BULL 3X",JAN,TNA,TNA,"Citadel Securities LLC","NYSE ARCA","N",TNA,
"SMART TECHNOLOGIES",FEB,SMT,SMT,"Susquehanna Securities","NASDAQ","N",SMT,
"SMITH & WESSON",MAR,SWHC,SWHC,"Group One Trading, L.P.","NASDAQ","N",SWHC,
"SMITH A O CORP",JAN,AOS,AOS,"Barclays Capital Inc.","NYSE","N",AOS,
"SMITH MICRO SOFTWARE",JAN,SMSI,SMSI,"Citadel Securities LLC","NASDAQ","N",SMSI,
"SMITH&NEPHEW PLC NEW",MAR,SNN,SNN,"Wolverine Trading, LLC","NYSE","N",SNN,
"SMUCKERS J M NEW",JAN,SJM,SJM,"Citadel Securities LLC","NYSE","N",SJM,
"SNAP ON INC",MAR,SNA,SNA,"Citadel Securities LLC","NYSE","N",SNA,
"SNYDERS-LANCE INC",MAR,LNCE,LNCE,"Susquehanna Securities","NASDAQ","N",LNCE,
"SOCIEDAD DE CHILE SC",JAN,SQM,SQM,"Citadel Securities LLC","NYSE","N",SQM,
"SODASTREAM INT LTD",JAN,SODA,SODA,"Susquehanna Securities","NASDAQ","N",SODA,
"SOHU.COM INC",MAR,SOHU,SOHU,"Citadel Securities LLC","NASDAQ","N",SOHU,
"SOLAR CAPITAL CMN",MAR,SLRC,SLRC,"Wolverine Trading, LLC","NASDAQ","N",SLRC,
"SOLARCITY CORPORATIO",JAN,SCTY,SCTY,"Citadel Securities LLC","NASDAQ","N",SCTY,
"SOLAREDGE TECH CMN",MAR,SEDG,SEDG,"Morgan Stanley & Co. LLC","NASDAQ","N",SEDG,
"SOLAZYME, INC.",MAR,SZYM,SZYM,"Group One Trading, L.P.","NASDAQ","N",SZYM,
"SONIC AUTOMOTIVE INC",FEB,SAH,SAH,"Susquehanna Securities","NYSE","N",SAH,
"SONIC CP",MAR,SONC,SONC,"Citadel Securities LLC","NASDAQ","N",SONC,
"SONOCO PRODUCTS",JAN,SON,SON,"Citadel Securities LLC","NYSE","N",SON,
"SONUS NETWORKS INC",JAN,SONS,SONS,"Susquehanna Securities","NASDAQ","N",SONS,
"SONY CP ADR",JAN,SNE,SNE,"Timber Hill LLC","NYSE","N",SNE,
"SORL AUTO PARTS INC",MAR,SORL,SORL,"Citadel Securities LLC","NASDAQ","N",SORL,
"SORRENTO THERPT CMN",MAR,SRNE,SRNE,"Group One Trading, L.P.","NASDAQ","N",SRNE,
"SOTHEBYS",JAN,BID,BID,"Timber Hill LLC","NYSE","N",BID,
"SOUFUN HOLDINGS LTD",FEB,SFUN,SFUN,"Morgan Stanley & Co. LLC","NYSE","N",SFUN,
"SOUTH JERSEY IND",JAN,SJI,SJI,"Susquehanna Securities","NYSE","Y",SJI,
"SOUTH STATE CP CMN",MAR,SSB,SSB,"Susquehanna Securities","NASDAQ","N",SSB,
"SOUTHERN CO",FEB,SO,SO,"Citadel Securities LLC","NYSE","N",SO,
"SOUTHERN COPPER CORP",MAR,SCCO,SCCO,"Citadel Securities LLC","NYSE","N",SCCO,
"SOUTHWEST AIRLINES",MAR,LUV,LUV,"Citigroup Derivatives Markets Inc.","NYSE","N",LUV,
"SOUTHWEST BNCP INC",MAR,OKSB,OKSB,"Susquehanna Securities","NASDAQ","N",OKSB,
"SOUTHWEST GAS CP",JAN,SWX,SWX,"Wolverine Trading, LLC","NYSE","Y",SWX,
"SOUTHWESTERN ENERGY",MAR,SWN,SWN,"Timber Hill LLC","NYSE","N",SWN,
"SOVRAN STORAGE",MAR,SSS,SSS,"Susquehanna Securities","NYSE","N",SSS,
"SPARK THERAP CMN",MAR,ONCE,ONCE,"Morgan Stanley & Co. LLC","NASDAQ","N",ONCE,
"SPARTAN MOTORS INC",MAR,SPAR,SPAR,"Wolverine Trading, LLC","NASDAQ","N",SPAR,
"SPARTANNASH COMPANY",JAN,SPTN,SPTN,"Susquehanna Securities","NASDAQ","N",SPTN,
"SPARTON CP",MAR,SPA,SPA,"Wolverine Trading, LLC","NYSE","N",SPA,
"SPDR BARCLAY HYB ETF",,JNK,JNK,"Citadel Securities LLC","NYSE ARCA","N",JNK,
"SPDR DJ REIT ETF",JAN,RWR,RWR,"Susquehanna Securities","NYSE ARCA","N",RWR,
"SPDR DJIA ETF TRUST",,DIA,DIA,"Citigroup Derivatives Markets Inc.","NYSE ARCA","N",DIA,
"SPDR EURO STOXX 50",FEB,FEZ,FEZ,"Susquehanna Securities","NYSE ARCA","N",FEZ,
"SPDR GOLD SHARES",,GLD,GLD,"Citadel Securities LLC","NYSE ARCA","N",GLD,
"SPDR HOMEBUILDERS ET",,XHB,XHB,"Citadel Securities LLC","NYSE ARCA","N",XHB,
"SPDR NUVEEN BARCLAYS",MAR,TFI,TFI,"Wolverine Trading, LLC","NYSE ARCA","Y",TFI,
"SPDR RETAIL ETF",MAR,XRT,XRT,"Citadel Securities LLC","NYSE ARCA","N",XRT,
"SPDR S&P 500 ETF TRS",,SPY,SPY,"Susquehanna Securities","NYSE ARCA","N",SPY,
"SPDR S&P 500 ETF TRS(MINI)",,SPY7,SPY7,"Citadel Securities LLC","NYSE ARCA","N",SPY,
"SPDR S&P BANK ETF",,KBE,KBE,"Susquehanna Securities","NYSE ARCA","N",KBE,
"SPDR S&P BIOTECH ETF",MAR,XBI,XBI,"Wolverine Trading, LLC","NYSE ARCA","N",XBI,
"SPDR S&P CAPITAL MAR",,KCE,KCE,"Citadel Securities LLC","NYSE ARCA","N",KCE,
"SPDR S&P DIVIDEND ET",JAN,SDY,SDY,"Citadel Securities LLC","NYSE ARCA","N",SDY,
"SPDR S&P INSURANCE E",,KIE,KIE,"Citadel Securities LLC","NYSE ARCA","N",KIE,
"SPDR S&P METALS & MI",,XME,XME,"Citadel Securities LLC","NYSE ARCA","N",XME,
"SPDR S&P MIDCAP 400",,MDY,MDY,"Timber Hill LLC","NYSE ARCA","N",MDY,
"SPDR S&P REGIONAL BA",MAR,KRE,KRE,"Citadel Securities LLC","NYSE ARCA","N",KRE,
"SPDR SEMICONDUCTOR E",JAN,XSD,XSD,"Susquehanna Securities","NYSE ARCA","N",XSD,
"SPECTRA ENERGY",MAR,SE,SE,"Citadel Securities LLC","NYSE","N",SE,
"SPECTRA ENERGY UTS",MAR,SEP,SEP,"Susquehanna Securities","NYSE","N",SEP,
"SPECTRANETICS CP T",JAN,SPNC,SPNC,"Susquehanna Securities","NASDAQ","N",SPNC,
"SPECTRUM BRANDS HLDG",JAN,SPB,SPB,"Wolverine Trading, LLC","NYSE","N",SPB,
"SPECTRUM PHARMA INC",FEB,SPPI,SPPI,"Group One Trading, L.P.","NASDAQ","N",SPPI,
"SPHERE 3D CORP.",FEB,ANY,ANY,"Group One Trading, L.P.","NASDAQ","N",ANY,
"SPIRIT AEROSYSTEMS H",JAN,SPR,SPR,"Citadel Securities LLC","NYSE","N",SPR,
"SPIRIT AIRLINES, INC",MAR,SAVE,SAVE,"Citadel Securities LLC","NASDAQ","N",SAVE,
"SPLUNK INC.",FEB,SPLK,SPLK,"Citadel Securities LLC","NASDAQ","N",SPLK,
"SPOK HOLDINGS, INC.",JAN,SPOK,SPOK,"Susquehanna Securities","NASDAQ","N",SPOK,
"SPRINT CORP",FEB,S,S,"Timber Hill LLC","NYSE","N",S,
"SPROUTS FARMERS MARK",JAN,SFM,SFM,"Citadel Securities LLC","NASDAQ","N",SFM,
"SPS COMMERCE, INC.",JAN,SPSC,SPSC,"Susquehanna Securities","NASDAQ","N",SPSC,
"SPX CORPORATION",MAR,SPXC,SPXC,"Susquehanna Securities","NYSE","N",SPXC,
"SPX FLOW, INC.",MAR,FLOW,FLOW,"Susquehanna Securities","NYSE","N",FLOW,
"SQUARE, INC.",MAR,SQ,SQ,"Wolverine Trading, LLC","NYSE","N",SQ,
"SS&C TECHNOLOGIES",JAN,SSNC,SSNC,"Susquehanna Securities","NASDAQ","N",SSNC,
"ST JOE CO (THE)",MAR,JOE,JOE,"Citadel Securities LLC","NYSE","N",JOE,
"ST SPDR O&G E&P ETF",,XOP,XOP,"Susquehanna Securities","NYSE ARCA","N",XOP,
"ST SPDR S&P INTL SC",MAR,GWX,GWX,"Wolverine Trading, LLC","NYSE ARCA","N",GWX,
"ST SR TR BARC 1-3 TB",FEB,BIL,BIL,"Wolverine Trading, LLC","NYSE ARCA","Y",BIL,
"ST. JUDE MEDICAL",JAN,STJ,STJ,"Citadel Securities LLC","NYSE","N",STJ,
"STAAR SURGICAL CO",MAR,STAA,STAA,"Susquehanna Securities","NASDAQ","N",STAA,
"STAG INDUSTRIAL, INC",MAR,STAG,STAG,"Susquehanna Securities","NYSE","N",STAG,
"STAGE STORES INC",JAN,SSI,SSI,"Susquehanna Securities","NYSE","N",SSI,
"STAMPS.COM INC",FEB,STMP,STMP,"Citadel Securities LLC","NASDAQ","N",STMP,
"STANDARD MOTOR PROD",FEB,SMP,SMP,"Susquehanna Securities","NYSE","N",SMP,
"STANDEX INTL CP",FEB,SXI,SXI,"Wolverine Trading, LLC","NYSE","N",SXI,
"STANLEY BLACK & DCKR",JAN,SWK,SWK,"Citadel Securities LLC","NYSE","N",SWK,
"STAPLES, INC.",MAR,SPLS,SPLS,"Citadel Securities LLC","NASDAQ","N",SPLS,
"STAR GAS PTNRS LP",MAR,SGU,SGU,"Group One Trading, L.P.","NYSE","N",SGU,
"STARBUCKS CORP",JAN,SBUX,SBUX,"Citadel Securities LLC","NASDAQ","N",SBUX,
"STARWOOD HOTELS&RES",FEB,HOT,HOT,"Timber Hill LLC","NYSE","N",HOT,
"STARWOOD PROPERTY TR",MAR,STWD,STWD,"Susquehanna Securities","NYSE","N",STWD,
"STARZ SERIES A",JAN,STRZA,STRZA,"Citadel Securities LLC","NASDAQ","N",STRZA,
"STATE AUTO FINL CORP",FEB,STFC,STFC,"Susquehanna Securities","NASDAQ","N",STFC,
"STATE BANK FINL CORP",MAR,STBZ,STBZ,"Wolverine Trading, LLC","NASDAQ","Y",STBZ,
"STATE STREET CP",FEB,STT,STT,"Citigroup Derivatives Markets Inc.","NYSE","N",STT,
"STATOIL ASA",JAN,STO,STO,"Citadel Securities LLC","NYSE","N",STO,
"STEALTHGAS INC",MAR,GASS,GASS,"Susquehanna Securities","NASDAQ","N",GASS,
"STEEL DYNAMICS INC",FEB,STLD,STLD,"Citadel Securities LLC","NASDAQ","N",STLD,
"STEELCASE INC",JAN,SCS,SCS,"Wolverine Trading, LLC","NYSE","N",SCS,
"STEIN MART INC",FEB,SMRT,SMRT,"Susquehanna Securities","NASDAQ","N",SMRT,
"STELLUS CAPITAL INVT",MAR,SCM,SCM,"Wolverine Trading, LLC","NYSE","N",SCM,
"STEMLINE THERAPEUTIC",MAR,STML,STML,"Citadel Securities LLC","NASDAQ","N",STML,
"STEPAN CO.",MAR,SCL,SCL,"Susquehanna Securities","NYSE","N",SCL,
"STEREOTAXIS, INC.",MAR,STXS,STXS,"Citadel Securities LLC","NASDAQ","N",STXS,
"STERICYCLE, INC.",FEB,SRCL,SRCL,"Citadel Securities LLC","NASDAQ","N",SRCL,
"STERIS PLC",MAR,STE,STE,"Citadel Securities LLC","NYSE","N",STE,
"STERLING BANCORP",FEB,STL,STL,"Citadel Securities LLC","NYSE","N",STL,
"STERLING CONSTRUCTIO",MAR,STRL,STRL,"Susquehanna Securities","NASDAQ","N",STRL,
"STEVEN MADDENS LTD",MAR,SHOO,SHOO,"Citadel Securities LLC","NASDAQ","N",SHOO,
"STEWART INFO SVC",FEB,STC,STC,"Morgan Stanley & Co. LLC","NYSE","N",STC,
"STIFEL FINANCIAL CP",JAN,SF,SF,"Citadel Securities LLC","NYSE","N",SF,
"STILLWATER MNG CO",JAN,SWC,SWC,"Citadel Securities LLC","NYSE","N",SWC,
"STMICROELECTRONICS",JAN,STM,STM,"Susquehanna Securities","NYSE","N",STM,
"STONE ENERGY CP",MAR,SGY,SGY,"Timber Hill LLC","NYSE","N",SGY,
"STONEGATE BK CMN STK",MAR,SGBK,SGBK,"Susquehanna Securities","NASDAQ","N",SGBK,
"STONEMOR LP UT",JAN,STON,STON,"Susquehanna Securities","NYSE","N",STON,
"STONERIDGE INC",MAR,SRI,SRI,"Susquehanna Securities","NYSE","N",SRI,
"STORE CAPITAL CP",JAN,STOR,STOR,"Susquehanna Securities","NYSE","N",STOR,
"STRAIGHT PATH COMM",FEB,STRP,STRP,"Susquehanna Securities","NYSE MKT","N",STRP,
"STRATASYS, LTD.",MAR,SSYS,SSYS,"Morgan Stanley & Co. LLC","NASDAQ","N",SSYS,
"STRAYER EDUCATION",JAN,STRA,STRA,"Citadel Securities LLC","NASDAQ","N",STRA,
"STREAMLINE HEALTH SO",JAN,STRM,STRM,"Wolverine Trading, LLC","NASDAQ","N",STRM,
"STRYKER CP",MAR,SYK,SYK,"Susquehanna Securities","NYSE","N",SYK,
"STUDENT TRNSPT INC",FEB,STB,STB,"Susquehanna Securities","NASDAQ","N",STB,
"STURM RUGER AND CO",JAN,RGR,RGR,"Susquehanna Securities","NYSE","N",RGR,
"SUBURBAN PROPANE",FEB,SPH,SPH,"Susquehanna Securities","NYSE","N",SPH,
"SUCAMPO PHARMA. INC.",MAR,SCMP,SCMP,"Wolverine Trading, LLC","NASDAQ","N",SCMP,
"SUFFOLK BANCORP",JAN,SCNB,SCNB,"Wolverine Trading, LLC","NYSE","N",SCNB,
"SUMMIT HOTEL PPTIES",MAR,INN,INN,"Susquehanna Securities","NYSE","N",INN,
"SUMMIT MIDSTREAM PRT",MAR,SMLP,SMLP,"Susquehanna Securities","NYSE","N",SMLP,
"SUN BANCORP INC",JAN,SNBC,SNBC,"Wolverine Trading, LLC","NASDAQ","N",SNBC,
"SUN COMMUNITIES INC",MAR,SUI,SUI,"Susquehanna Securities","NYSE","N",SUI,
"SUN HYDRAULICS COR",MAR,SNHY,SNHY,"Susquehanna Securities","NASDAQ","N",SNHY,
"SUN LIFE FINCL INC",FEB,SLF,SLF,"Susquehanna Securities","NYSE","N",SLF,
"SUNCOKE ENERGY, INC",MAR,SXC,SXC,"Citadel Securities LLC","NYSE","N",SXC,
"SUNCOR ENERGY INC",MAR,SU,SU,"Timber Hill LLC","NYSE","N",SU,
"SUNEDISON, INC.",JAN,SUNE,SUNE,"Citadel Securities LLC","NYSE","N",SUNE,
"SUNESIS PHARMACEUTIC",JAN,SNSS,SNSS,"Susquehanna Securities","NASDAQ","N",SNSS,
"SUNOCO LOG PTNRS LP",FEB,SXL,SXL,"Susquehanna Securities","NYSE","N",SXL,
"SUNOCO LP",MAR,SUN,SUN,"Susquehanna Securities","NYSE","N",SUN,
"SUNOPTA INC",MAR,STKL,STKL,"Citadel Securities LLC","NASDAQ","N",STKL,
"SUNPOWER CORPORATION",MAR,SPWR,SPWR,"Citadel Securities LLC","NASDAQ","N",SPWR,
"SUNRUN INC CMN STK",FEB,RUN,RUN,"Citadel Securities LLC","NASDAQ","N",RUN,
"SUNSHINE HEART INC",JAN,SSH,SSH,"Wolverine Trading, LLC","NASDAQ","N",SSH,
"SUNSTONE HOTEL INV",MAR,SHO,SHO,"Citadel Securities LLC","NYSE","N",SHO,
"SUNTRUST BANKS",JAN,STI,STI,"Citigroup Derivatives Markets Inc.","NYSE","N",STI,
"SUPER MICRO COMPUTER",JAN,SMCI,SMCI,"Susquehanna Securities","NASDAQ","N",SMCI,
"SUPERCONDUCTOR TECH",JAN,SCON,SCON,"Susquehanna Securities","NASDAQ","N",SCON,
"SUPERIOR ENERGY SV",MAR,SPN,SPN,"Citadel Securities LLC","NYSE","N",SPN,
"SUPERIOR IND INTL",JAN,SUP,SUP,"Citadel Securities LLC","NYSE","N",SUP,
"SUPERNUS PHARM",MAR,SUPN,SUPN,"Susquehanna Securities","NASDAQ","N",SUPN,
"SUPERVALU INC",JAN,SVU,SVU,"Citadel Securities LLC","NYSE","N",SVU,
"SUPPORT.COM, INC",MAR,SPRT,SPRT,"Susquehanna Securities","NASDAQ","N",SPRT,
"SUPREME INDS CL A",MAR,STS,STS,"Wolverine Trading, LLC","NYSE MKT","N",STS,
"SURGERY PARTNERS CS",MAR,SGRY,SGRY,"Citadel Securities LLC","NASDAQ","N",SGRY,
"SURMODICS INC",FEB,SRDX,SRDX,"Citadel Securities LLC","NASDAQ","N",SRDX,
"SVB FINANCIAL GRP",FEB,SIVB,SIVB,"Citadel Securities LLC","NASDAQ","N",SIVB,
"SWIFT TRANSPORTATION",FEB,SWFT,SWFT,"Susquehanna Securities","NYSE","N",SWFT,
"SYKES ENTERPRISES",JAN,SYKE,SYKE,"Citadel Securities LLC","NASDAQ","N",SYKE,
"SYMANTEC CORPORATION",JAN,SYMC,SYMC,"Timber Hill LLC","NASDAQ","N",SYMC,
"SYNACOR, INC.",JAN,SYNC,SYNC,"Wolverine Trading, LLC","NASDAQ","N",SYNC,
"SYNALLOY CP",MAR,SYNL,SYNL,"Wolverine Trading, LLC","NASDAQ","N",SYNL,
"SYNAPTICS INC",MAR,SYNA,SYNA,"Citadel Securities LLC","NASDAQ","N",SYNA,
"SYNCHRONOSS TECHNOLO",MAR,SNCR,SNCR,"Citadel Securities LLC","NASDAQ","N",SNCR,
"SYNCHRONY FINANCIAL",JAN,SYF,SYF,"Morgan Stanley & Co. LLC","NYSE","N",SYF,
"SYNERGY PHARMA CMN",JAN,SGYP,SGYP,"Susquehanna Securities","NASDAQ","N",SGYP,
"SYNERGY RESOURCES CP",MAR,SYRG,SYRG,"Susquehanna Securities","NYSE MKT","N",SYRG,
"SYNERON MEDICAL LTD.",MAR,ELOS,ELOS,"Citadel Securities LLC","NASDAQ","N",ELOS,
"SYNNEX CORP",MAR,SNX,SNX,"Susquehanna Securities","NYSE","N",SNX,
"SYNOPSYS, INC.",MAR,SNPS,SNPS,"Citadel Securities LLC","NASDAQ","N",SNPS,
"SYNOVUS FINL CP",FEB,SNV,SNV,"Timber Hill LLC","NYSE","N",SNV,
"SYNTA PHARMACEUTICAL",FEB,SNTA,SNTA,"Citadel Securities LLC","NASDAQ","N",SNTA,
"SYNTEL INC",FEB,SYNT,SYNT,"Susquehanna Securities","NASDAQ","N",SYNT,
"SYNTHESIS ENERGY SYS",JAN,SYMX,SYMX,"Susquehanna Securities","NASDAQ","N",SYMX,
"SYSCO CP",FEB,SYY,SYY,"Timber Hill LLC","NYSE","N",SYY,
"SYSTEMAX INC",MAR,SYX,SYX,"Citadel Securities LLC","NYSE","N",SYX,
"T C F FINANCIAL CORP",JAN,TCB,TCB,"Susquehanna Securities","NYSE","N",TCB,
"T J X COS INC",JAN,TJX,TJX,"Citadel Securities LLC","NYSE","N",TJX,
"T R C COS INC",MAR,TRR,TRR,"Wolverine Trading, LLC","NYSE","N",TRR,
"T ROWE PRICE GROUP",JAN,TROW,TROW,"Citadel Securities LLC","NASDAQ","N",TROW,
"T-MOBILE US CMN",FEB,TMUS,TMUS,"Citadel Securities LLC","NASDAQ","N",TMUS,
"TABLEAU SOFTWARE INC",JAN,DATA,DATA,"Citadel Securities LLC","NYSE","N",DATA,
"TAHOE RES INC",MAR,TAHO,TAHO,"Citadel Securities LLC","NYSE","N",TAHO,
"TAILORED BRANDS, INC",FEB,TLRD,TLRD,"Group One Trading, L.P.","NYSE","N",TLRD,
"TAIWAN SEMICOND ADS",JAN,TSM,TSM,"Citadel Securities LLC","NYSE","N",TSM,
"TAKE-TWO INTERACTI",MAR,TTWO,TTWO,"Citadel Securities LLC","NASDAQ","N",TTWO,
"TAL EDUCATION GROUP",FEB,XRS,XRS,"Citadel Securities LLC","NYSE","N",XRS,
"TAL INTERNATIONL GRP",JAN,TAL,TAL,"Group One Trading, L.P.","NYSE","N",TAL,
"TALLGRASS ENERGY",FEB,TEP,TEP,"Wolverine Trading, LLC","NYSE","N",TEP,
"TALMER BANCORP, INC.",FEB,TLMR,TLMR,"Wolverine Trading, LLC","NASDAQ","N",TLMR,
"TANDEM DIABETES CARE",MAR,TNDM,TNDM,"Wolverine Trading, LLC","NASDAQ","N",TNDM,
"TANGER FACTORY OUT",MAR,SKT,SKT,"Susquehanna Securities","NYSE","N",SKT,
"TANGOE, INC.",FEB,TNGO,TNGO,"Wolverine Trading, LLC","NASDAQ","N",TNGO,
"TANZANIAN ROYALTY EX",JAN,TRX,TRX,"Wolverine Trading, LLC","NYSE MKT","N",TRX,
"TARGA RESOURCES INC",JAN,TRGP,TRGP,"Susquehanna Securities","NYSE","N",TRGP,
"TARGA RESOURCES INC(ADJ)",,TRGP1,TRGP1,"Susquehanna Securities","NYSE","N",TRGP,"ATLS"
"TARGET CP",JAN,TGT,TGT,"Susquehanna Securities","NYSE","N",TGT,
"TARO PHARM INDS",JAN,TARO,TARO,"Susquehanna Securities","NYSE","Y",TARO,
"TASEKO MINES LTD",FEB,TGB,TGB,"Citadel Securities LLC","NYSE MKT","N",TGB,
"TASER INTL INC",MAR,TASR,TASR,"Citadel Securities LLC","NASDAQ","N",TASR,
"TATA MOTORS INC",JAN,TTM,TTM,"Citadel Securities LLC","NYSE","N",TTM,
"TAUBMAN CENTERS INC",MAR,TCO,TCO,"Citadel Securities LLC","NYSE","N",TCO,
"TAYLOR MORRISON HOME",JAN,TMHC,TMHC,"Morgan Stanley & Co. LLC","NYSE","N",TMHC,
"TC PIPELINES LP",FEB,TCP,TCP,"Susquehanna Securities","NYSE","N",TCP,
"TD AMERITRADE HD CM",FEB,AMTD,AMTD,"Citigroup Derivatives Markets Inc.","NASDAQ","N",AMTD,
"TE CONNECTIVITY LTD",JAN,TEL,TEL,"Timber Hill LLC","NYSE","N",TEL,
"TEAM HEALTH HOLDINGS",JAN,TMH,TMH,"Wolverine Trading, LLC","NYSE","N",TMH,
"TEAM INC",MAR,TISI,TISI,"Susquehanna Securities","NYSE","N",TISI,
"TEARLAB CORPORATION",MAR,TEAR,TEAR,"Susquehanna Securities","NASDAQ","N",TEAR,
"TECH DATA CP",MAR,TECD,TECD,"Citadel Securities LLC","NASDAQ","N",TECD,
"TECHNOLOGY SPDR",,XLK,XLK,"Timber Hill LLC","NYSE ARCA","N",XLK,
"TECHTARGET, INC.",MAR,TTGT,TTGT,"Citadel Securities LLC","NASDAQ","N",TTGT,
"TECK RESOURCES CL B",FEB,TCK,TCK,"Citadel Securities LLC","NYSE","N",TCK,
"TECO ENERGY INC",FEB,TE,TE,"Wolverine Trading, LLC","NYSE","N",TE,
"TEEKAY CORP",JAN,TK,TK,"Citadel Securities LLC","NYSE","N",TK,
"TEEKAY LNG PTRS LP",FEB,TGP,TGP,"Susquehanna Securities","NYSE","N",TGP,
"TEEKAY OFFSHORE PART",FEB,TOO,TOO,"Susquehanna Securities","NYSE","N",TOO,
"TEEKAY TANKERS CL A",FEB,TNK,TNK,"Citadel Securities LLC","NYSE","N",TNK,
"TEGNA INC.",JAN,TGNA,TGNA,"Citigroup Derivatives Markets Inc.","NYSE","N",TGNA,
"TEGNA INC.(ADJ)",,TGNA1,TGNA1,"Citigroup Derivatives Markets Inc.","NYSE","N",TGNA,"GCI"
"TELADOC, INC.",JAN,TDOC,TDOC,"Susquehanna Securities","NYSE","N",TDOC,
"TELECOM ARGENTIA ADS",JAN,TEO,TEO,"Group One Trading, L.P.","NYSE","N",TEO,
"TELECOM ITL NEW",MAR,TI,TI,"Susquehanna Securities","NYSE","N",TI,
"TELEDYNE TECH INC",MAR,TDY,TDY,"Wolverine Trading, LLC","NYSE","N",TDY,
"TELEFLEX INC",JAN,TFX,TFX,"Susquehanna Securities","NYSE","N",TFX,
"TELEFONICA BRASIL SA",FEB,VIV,VIV,"Susquehanna Securities","NYSE","N",VIV,
"TELEFONICA SA",MAR,TEF,TEF,"Citadel Securities LLC","NYSE","N",TEF,
"TELENAV, INC.",JAN,TNAV,TNAV,"Wolverine Trading, LLC","NASDAQ","N",TNAV,
"TELEPHONE AND DATA",FEB,TDS,TDS,"Barclays Capital Inc.","NYSE","N",TDS,
"TELETECH HLDGS",JAN,TTEC,TTEC,"Citadel Securities LLC","NASDAQ","N",TTEC,
"TELUS CORP",MAR,TU,TU,"Susquehanna Securities","NYSE","N",TU,
"TELVISA S.A.",JAN,TV,TV,"Citadel Securities LLC","NYSE","N",TV,
"TEMPUR SEALY INTL",MAR,TPX,TPX,"Citadel Securities LLC","NYSE","N",TPX,
"TENARIS S.A ADS",MAR,TS,TS,"Barclays Capital Inc.","NYSE","N",TS,
"TENAX THERAPEUTICS",FEB,TENX,TENX,"Susquehanna Securities","NASDAQ","N",TENX,
"TENET HLTHCRE CP",FEB,THC,THC,"Timber Hill LLC","NYSE","N",THC,
"TENNANT CO",JAN,TNC,TNC,"Morgan Stanley & Co. LLC","NYSE","N",TNC,
"TENNECO INC",JAN,TEN,TEN,"Citadel Securities LLC","NYSE","N",TEN,
"TERADATA CORP",JAN,TDC,TDC,"Citadel Securities LLC","NYSE","N",TDC,
"TERADYNE INC",JAN,TER,TER,"Susquehanna Securities","NYSE","N",TER,
"TEREX CP",JAN,TEX,TEX,"Citadel Securities LLC","NYSE","N",TEX,
"TERNIUM S.A. ADS",FEB,TX,TX,"Citadel Securities LLC","NYSE","N",TX,
"TERRAFORM PWR CLA CM",MAR,TERP,TERP,"Citadel Securities LLC","NASDAQ","N",TERP,
"TERRENO REALTY CORP",MAR,TRNO,TRNO,"Wolverine Trading, LLC","NYSE","N",TRNO,
"TERRITORIAL BANCORP",JAN,TBNK,TBNK,"Wolverine Trading, LLC","NASDAQ","N",TBNK,
"TESARO, INC.",MAR,TSRO,TSRO,"Morgan Stanley & Co. LLC","NASDAQ","N",TSRO,
"TESCO CORP",MAR,TESO,TESO,"Morgan Stanley & Co. LLC","NASDAQ","N",TESO,
"TESLA MOTORS INC",MAR,TSLA,TSLA,"Susquehanna Securities","NASDAQ","N",TSLA,
"TESORO CORP",FEB,TSO,TSO,"Citigroup Derivatives Markets Inc.","NYSE","N",TSO,
"TESORO LOGISTICS LP",MAR,TLLP,TLLP,"Citadel Securities LLC","NYSE","N",TLLP,
"TESSERA TECHNOLOGIES",MAR,TSRA,TSRA,"Barclays Capital Inc.","NASDAQ","N",TSRA,
"TETRA TECH INC",MAR,TTEK,TTEK,"Wolverine Trading, LLC","NASDAQ","N",TTEK,
"TETRA TECHNOLOGIES",MAR,TTI,TTI,"Citadel Securities LLC","NYSE","N",TTI,
"TETRAPHASE PHARMACEU",MAR,TTPH,TTPH,"Group One Trading, L.P.","NASDAQ","N",TTPH,
"TEUCRIUM CORN FUND",FEB,CORN,CORN,"Susquehanna Securities","NYSE ARCA","N",CORN,
"TEVA PHARM INDS LTD",MAR,TEVA,TEVA,"Timber Hill LLC","NYSE","N",TEVA,
"TEXAS CAPITAL BNCSH",MAR,TCBI,TCBI,"Wolverine Trading, LLC","NASDAQ","N",TCBI,
"TEXAS INSTRUMENTS",JAN,TXN,TXN,"Timber Hill LLC","NASDAQ","N",TXN,
"TEXAS ROADHOUSE, INC",MAR,TXRH,TXRH,"Wolverine Trading, LLC","NASDAQ","N",TXRH,
"TEXTAINER GROUP HDG",FEB,TGH,TGH,"Susquehanna Securities","NYSE","N",TGH,
"TEXTRON INC",MAR,TXT,TXT,"Citadel Securities LLC","NYSE","N",TXT,
"TEXTURA CORPORATION",MAR,TXTR,TXTR,"Wolverine Trading, LLC","NYSE","N",TXTR,
"TFS FINANCIAL CORP.",JAN,TFSL,TFSL,"Barclays Capital Inc.","NASDAQ","N",TFSL,
"TG THERAPEUTICSCMN",FEB,TGTX,TGTX,"Citadel Securities LLC","NASDAQ","N",TGTX,
"THE AES CORPORATION",FEB,AES,AES,"Citigroup Derivatives Markets Inc.","NYSE","N",AES,
